,team_idx,team
24191,2632,Patas Negras
24208,2633,Manisa
24209,2634,Juntos Somos Fortes!
24224,2635,Thecutemommy
24226,2636,Figcosta
24231,2637,Racers Legion
24235,2638,Jomar
24277,2639,Ipnp - Saúde
24286,2640,Acalfenense
24292,2641,Os Padrinhos
24305,2642,Last Prf
24309,2643,Hefa
24355,2644,Os Sousa
24370,2645,Tupodestudo
24375,2646,Rui P.
24404,2647,Elsa&Ana
24409,2648,Paradelarunners
24457,2649,Albergueiros
24466,2650,Los Pepes
24467,2651,Macedo's
24485,2652,O Meu Pai E Eu
24493,2653,Kikas&Kokas
24504,2654,Liberty Seguros - Liberty Seguros
24508,2655,Super Pais
24532,2656,Rb Running
24537,2657,G C Bragança
24543,2658,Clube Triatlo Galitos
24548,2659,Associaçao Moinho De Vermoim
24557,2660,C C D T C M Gondomar
24569,2661,Nossa Senhora Da Conceiçao
24570,2662,Apdl
24571,2663,G D S T
24572,2664,S C Oliveira Douro
24575,2665,Académica De Coimbra
24579,2666,C C D Apdl
24580,2667,Clube Os 5 A Hora
24582,2668,C C D Autarquias De Almada
24583,2669,Reading Roadrunners
24584,2670,Pe  Redondo
24597,2671,Quinta Das Freiras
24602,2672,Idealkorpus
24604,2673,Clube Do Pessoal Edp Fafe
24614,2674,Caes Do Monte
24624,2675,Clube Campismo S Joao Madeira
24625,2676,Thtilar Class Runners
24627,2677,Parque Nascente H C
24636,2678,G D Leoes Do Veneza
24643,2679,Ginasio Status
24647,2680,Ctm
24648,2681,Magnesium - Ok
24654,2682,Clube Millenniumbcp
24656,2683,Vida Ativa
24658,2684,Vianacycles
24670,2685,Candal
24674,2686,A.D. Limiactiva
24680,2687,Desnivel Positivo
24687,2688,A D Amarante
24688,2689,Sao Salvador Campo
24694,2690,Ca Barreira
24695,2691,Tejavista
24697,2692,C Santo Tirso
24699,2693,Ctad
24712,2694,"Manos Capelo, Desta Vez Sózinho"
24715,2695,Cafe Ponto Final/Confeçoes Paulo Nogueira
24721,2696,Zangões-Btt
24731,2697,H3 Running Norte
24740,2698,Amadores
24744,2699,Just Work It
24751,2700,Guimaraes Runners
24754,2701,Clube Dos Galitos
24760,2702,Mib_Sport
24765,2703,Clube Millenium Bcp
24767,2704,Clube Aventura Da Madeira
24775,2705,Aleliv
24785,2706,Mac
24792,2707,Clube Pessoal Da Edp De Loulé
24803,2708,Escola Secundária Tomaz Pelayo
24804,2709,Sapadores Da Invicta
24810,2710,Gandra Fit Quero Mais
24818,2711,Camir
24821,2712,Padrao Da Legua
24827,2713,Cape Town South Africa
24828,2714,Magnesium Ok
24829,2715,Edp Distribuiçao Maia
24837,2716,Oresys
24846,2717,Os Amadores
24850,2718,Sv Germania Durwib
24860,2719,Mafate
24862,2720,Funtastic`S
24864,2721,Living
24875,2722,Xiriris
24878,2723,Link Ms
24902,2724,Escola Secundaria Tomás Pelayo
24924,2725,Andarilhos Bike Team
24926,2726,Lycrart
24947,2727,Os Amigos De S. Pedro Da Cova
24958,2728,S.C.C.Santos
24961,2729,Las Tres Jotas
24976,2730,Atletas Veteranos De Salamanca
24979,2731,Zortzietakoak
25008,2732,Atletas Veteranos  Salamanca
25026,2733,C.A. Astromil
25041,2734,B V Moreira Maia
25046,2735,Os Lambareiros Do Asfalto
25096,2736,Escola Secundária De Tomaz Pelayo
25107,2737,Sport Remo Liberty Seguros
25120,2738,Fcp Nataçao
25124,2739,C C Inout Pq Aguda Ii
25136,2740,Gaiases
25145,2741,K1 Raio
25150,2742,He Running Norte
25211,2743,Korpus Academia Saude-Estetica
25219,2744,Café Ponto Finalconfeções Paulo Nogueira
25220,2745,Miguel Joao Gomes Oliveira
25240,2746,Turma Da Quinta-Rio De Janeiro
25247,2747,É De Shot Internacional
25270,2748,San Prospero (Mo)
25284,2749,Gdva
25290,2750,Association Je Cours A Rennes
25292,2751,Corre Matos
25303,2752,Cdv Trotapinares
25304,2753,Team Bikespace Braga
25316,2754,C R D Apdl
25319,2755,Yupiirun.Com
25322,2756,Family & Fun
25342,2757,Atletas Veteranos Salamanca
25346,2758,G D R Alvarelhos
25356,2759,Desnivel Positivosportzone
25358,2760,Desnivel Positivo/Sport Zone
25361,2761,Loja Imperio Bonanca Boavista
25386,2762,Acaga
25405,2763,Os Duros
25415,2764,Via Metro
25437,2765,Sopsec Tamecanos
25459,2766,Mandrunners
25464,2767,Btos
25469,2768,Clube Do Stress
25478,2769,Carpa
25479,2770,Università Degli Studi Di Brescia
25485,2771,Troikaway
25526,2772,Limiactiva
25531,2773,Garmin Portugal
25539,2774,One Man Team
25541,2775,Abaco
25555,2776,Acai
25563,2777,Bt4
25567,2778,Pumas Do Guincho
25598,2779,Gaianima
25611,2780,Ad Rio Largo Ce
25613,2781,Bttpinoco
25632,2782,Outeiro Family
25637,2783,Clube De Corrida Parque Da Aguda
25652,2784,Justynow-Janowka.Poland
25662,2785,Circolo Bper
25663,2786,Andantino - Casa Da Musica
25666,2787,Muito Sim!
25694,2788,R.S.S.C.
25697,2789,Crossrunners
25718,2790,Luis Sousa Comunicacao
25731,2791,C C Inout Pq Aguda I
25745,2792,Bip-Bip Running Time
25756,2793,Almada Running
25782,2794,Lombis
25790,2795,Alert Runnerstamecanos
25804,2796,Speed
25818,2797,Asce Thales
25831,2798,Biclasfriends
25849,2799,Ginasio Be Fitness
25857,2800,Conçalho Team
25938,2801,Antonio Silva
25949,2802,G D Ine (Gdine)
25960,2803,D L F Modena
25969,2804,Adecco Portugal
25988,2805,Je Cours A Rennes
26003,2806,Oliveiras
26015,2807,Sporting Clube Casainhos
26025,2808,Multiflow
26049,2809,Saunier Duval
26051,2810,Foguetes
26070,2811,Flying Dutchwomen
26092,2812,Wikaboo
26130,2813,Acrvd
26148,2814,Habinedita
26176,2815,Fa Racers
26202,2816,Vida Activa
26206,2817,C. M. Gaia
26223,2818,Companhia Do Bazófias
26231,2819,Atletismo Clube De Portalegre
26233,2820,Sawadee
26270,2821,C A Martins
26273,2822,Running Class Holmes Place Arrábida
26274,2823,Pe Duro
26289,2824,Tt Kids
26315,2825,Atletica Ghirlandina
26329,2826,Fufros
26348,2827,I-Run
26370,2828,Run With Me Porto
26381,2829,Pec 3
26392,2830,4 Ao Km
26407,2831,Sport Passion 42
26419,2832,Futura Emprrendimentos
26445,2833,Quality Life
26446,2834,Hand2hand
26447,2835,Miranda Pereira Magro
26455,2836,Oron
26494,2837,Sp42
26500,2838,Run Aterro Team
26559,2839,Corronorte
26561,2840,Acpl Benaguasil
26588,2841,Eaea
26607,2842,Cd Tcpi
26638,2843,Inem
26654,2844,Bt3
26661,2845,Ninjas Da Estrada
26665,2846,Demónios Do Crossfit
26712,2847,Os Graças
26714,2848,Monstros E Companhia
26730,2849,Falta Dar
26742,2850,Marujas Acelerás
26743,2851,Podistica San Damaso Modena Italy
26765,2852,Sv Germania Dürwiß
26771,2853,S S Caixa Geral De Depositos - Lisboa
26835,2854,Os Silvaribeiros
26878,2855,Divas 4 Ever
26889,2856,Maia Atletico Clube
26894,2857,Athletics Aventure
26895,2858,New Balance Team
26899,2859,G D C Castelo De Paiva
26900,2860,Jobra-Associação Jovens Da Branca
26903,2861,C D Feirense
26906,2862,Cdsscampo
26907,2863,Loja Do Atletaagueda
26908,2864,Clube De Atletismo Do Funchal
26915,2865,Sporting Clube De Portugal
26944,2866,Rail Runners
26945,2867,Carlos Flor
26947,2868,Cdfeirense
26948,2869,A.D. Amarante
26955,2870,Compressport
26957,2871,Clube Gaia
26966,2872,Atletas Populares De Plasencia
26969,2873,Longus Trilhos Valongo
26978,2874,Triatlon Pisuerta - Tripi (Valladolid)
26979,2875,Independiente
27001,2876,Nos 4 Somos 5
27004,2877,Individual Uni
27008,2878,Running Class Hp Arrábida
27009,2879,Fit 4 Fun
27016,2880,Courir Sympa Saverdun
27036,2881,5 Piratas
27052,2882,Aqua Fit Club
27059,2883,Bai K Andas Team
27069,2884,Solrun-Solinca Gaia
27074,2885,Solrun Gaia Solinca
27082,2886,Papa Milhas
27093,2887,Os Afonsinhos
27094,2888,Gdcarragosa
27095,2889,Catalunya
27102,2890,Penafidelense
27120,2891,Resistance To The Limit
27121,2892,System Of A Run
27126,2893,Las Tres J
27131,2894,Concalho Team
27140,2895,Clube Portugal Telecom - Zona Norte
27149,2896,Hpp - Hospital Da Boavista
27161,2897,Team Engomadoria L&A
27162,2898,Estetica Rosangela Francisco
27167,2899,Bala Team
27169,2900,C.R.P.Sao Tiago De Oliveira Do Douro
27170,2901,Oz Energia Sa
27178,2902,Autarquias De Almada
27186,2903,Gimnomeninodelagrima
27189,2904,Pascoalitos
27191,2905,Dra - Direcção Regional Do Ambiente
27228,2906,Abutres
27231,2907,Sporting Clube De Casainhos
27236,2908,Os Turbulentos
27237,2909,Gr4
27240,2910,Meninos Da Lágrima
27254,2911,Atletismo Amigos De Grijo
27262,2912,Faltap@Co
27263,2913,Falta P@Co
27264,2914,Psa
27291,2915,C D Candal
27302,2916,Bragactivecabalus
27303,2917,Ligeirinhos
27310,2918,Ecosafe
27318,2919,Riazor Coruña
27329,2920,Bp France
27356,2921,Btt Kunalama  Adportela
27369,2922,Liketomove.Com
27370,2923,Prt  Ad Quinta
27379,2924,Touquenemposso
27380,2925,Ath
27405,2926,Vitalis Running Team
27427,2927,Cambra
27455,2928,Passatempo Maxim
27462,2929,Os Malapeiros
27468,2930,Athletic Coeur De Fond
27490,2931,Rebeyjuan
27497,2932,Os Socios
27500,2933,Kuunalama Adportela | Rota Do Românico Em Btt
27506,2934,C.A. Macotera
27508,2935,Clube De Corrida Sem Nome
27510,2936,Manufacture Jaeger-Lecoultre
27533,2937,Flashteam
27538,2938,Amigos Atetismo Povoense
27544,2939,Pinto Dos Santos
27555,2940,Braguinhas
27589,2941,Arrebimba O Malho
27618,2942,Btt Team Castelo Da Maia
27621,2943,Atletismo Olympo
27631,2944,Mundo Das Corridas
27632,2945,Prazer De Correr
27638,2946,A Bouza Sprint
27657,2947,Liébana
27664,2948,Equipa Sem Nome
27667,2949,Cral Ipzs Roma
27682,2950,Vieira Family
27712,2951,Olympo Atletismo
27716,2952,Zé Nando Runners
27732,2953,Douro Runners Crew
27739,2954,Soc Com C Santos
27782,2955,Puerta Bisagra
27802,2956,Desoños
27807,2957,Atletas Culturetas
27825,2958,Makro Atletismo
27851,2959,Vale De Agua
27855,2960,Bosch Termotecnologia Sa
27858,2961,Lx Run
27877,2962,Cap Ormesson
27884,2963,Moustacheros
27888,2964,Desta Vez Não Chego Ao Fim...
27934,2965,Pauzinho De Canela
27939,2966,Nijmegen Atletiek
27941,2967,Pwc Runners
27970,2968,Familia Silva
27975,2969,Smurfinas
27980,2970,01:20:12
27991,2971,Ricardos
27993,2972,Balch Family
27998,2973,Leones Running Team
28022,2974,Portu
28026,2975,A.B.C. - Porto
28043,2976,Tsv Stein
28066,2977,Carvalho
28067,2978,Neves
28075,2979,Cabertamirans
28113,2980,Familia Perez
28121,2981,Lec2013
28135,2982,Companhia Do Bazofias
28143,2983,John Deere Running Team
28149,2984,Dont Walk! Run!
28151,2985,Sentir Saúde-Clínica Médica E Reabilitação
28165,2986,Eu+ Ginásio
28184,2987,Familia Cortes
28212,2988,Limavianense
28236,2989,Clube Grupo Bes
28241,2990,Arrastão
28248,2991,Cadillon
28249,2992,Re-Corredores
28260,2993,Trail Tónico
28270,2994,Clube Galp
28297,2995,Uscpca
28312,2996,Portugal Running
28334,2997,Lube
28348,2998,Masters Leixoes
28357,2999,Jartibles On The Road
28360,3000,Adc Bombeiros A Coruna
28361,3001,C R Mafamude
28370,3002,Primos
28409,3003,Câes Da Avenida
28428,3004,Biegnij Warszawo
28440,3005,Arrebimba O Macho
28441,3006,Gezond Hardlopen
28450,3007,Af Run
28452,3008,Acoreana Clube Banif
28499,3009,C.A. El Faro
28500,3010,Duo Maravilha
28502,3011,Maratonices
28525,3012,Zatac
28536,3013,Arrastaope
28552,3014,Memes
28553,3015,Usine Renault Douai France
28555,3016,Tecsea
28556,3017,Vianatrail
28571,3018,Milla Raio
28572,3019,Université De Lyon
28573,3020,Club Atletismo El Faro Alfas Del Pi - España
28579,3021,Campoy
28613,3022,Mlmcm
28627,3023,Team Duas Faces
28639,3024,Grandes Rotas
28665,3025,A Correr Ficamos Enormes
28683,3026,Love Runners
28715,3027,Vs Ozoir La Ferriere
28720,3028,Leite
28760,3029,Osaceleras
28766,3030,First Team
28769,3031,Os Carro Vassoura
28770,3032,Ertresvaag
28771,3033,Raskere Enn Stig
28775,3034,X
28779,3035,Os Terriveis
28796,3036,Cenas
28806,3037,Hot & Spicy Und Da Thomsi
28818,3038,Mundo Da Corrida
28821,3039,Macuas
28822,3040,Os Manos Run For Fun
28828,3041,Club Deportivo C U R R E T
28923,3042,Poteentes
28928,3043,Humannova
28934,3044,Vcrunners
28977,3045,Karayaka
28982,3046,C M Gaia
29007,3047,Club Atletismo Carballiño
29014,3048,Cansados
29025,3049,Clube De Corrida Sem Nome I
29036,3050,Popotas
29074,3051,Tit
29078,3052,Banco Carregsa
29090,3053,Margarida Correia Neves
29097,3054,Cofradiatrotecochinero
29103,3055,Eiserne Hauptmänner
29127,3056,Clube Sosi
29128,3057,Groupe Fricourt
29129,3058,Saint Doulchard Running
29176,3059,Lok Wah Runners Club
29191,3060,Opways
29214,3061,Remonkey
29247,3062,Os Tókenó
29261,3063,Matilha Radical
29281,3064,G.P.Avis Forli
29283,3065,Os Iluminados
29292,3066,Mpw-Hjm
29296,3067,Bragaactivecabalus
29312,3068,Clube Academico Mogadouro
29326,3069,Asrunner
29333,3070,Joma
29335,3071,Sporting Cp
29338,3072,U D Varzea
29340,3073,Clube Académico De Mogadouro
29341,3074,Cdss Campo
29348,3075,Loja Do Atleta
29355,3076,Desafio Vitalis
29358,3077,N. A. Cucujaes
29362,3078,Solorunners
29363,3079,Av 34 Apeldoorn
29370,3080,Restaurante O Cartaxeiro-Caneças
29371,3081,Rio Largo
29372,3082,Team Albaricoque
29374,3083,Traveldesign Studio
29376,3084,Tv Unterstrasss
29402,3085,Grupo Desportivo Limpeza Urbana - Cmp
29405,3086,C.D. Feirense
29406,3087,Academia Do Lumiar
29407,3088,Dragões Do Vale De Vizela
29411,3089,Running Park Madrid
29412,3090,C.C. D. Das Autarquias De Almada
29421,3091,Associação Recreativa De São Miguel De Poiares
29424,3092,Passatempo - Revista Running
29425,3093,C.F.Oliveira Do Douro
29433,3094,Eaa Annemasse
29434,3095,Eaafoulée Annemasse
29441,3096,Cpr A Do Barbas
29457,3097,Con_Dores Do Choupal Coimbra
29460,3098,Akiles
29465,3099,Scd Draveil
29466,3100,Cross-Club La Chaux-De-Fonds
29468,3101,Sc Draveil
29475,3102,Barc
29483,3103,Familia Cardoso Goncalves
29487,3104,Ros
29513,3105,Club De Atletismo Samertolameu
29516,3106,Vitoria Sc
29554,3107,Club Atletismo Santa Marta
29563,3108,Not Run Alone
29564,3109,Barranha
29571,3110,Clube Portugal Telecom Zona Norte
29572,3111,Sneakers Running Team
29573,3112,6 Pes Pa Un Banco
29579,3113,Ripolins.Com Eventos
29581,3114,Os Super Rápidos De Ermesinde
29618,3115,Groggy Running Team
29635,3116,Mex.Te Clube De Corrida
29640,3117,Running Lusekelo
29669,3118,Não Para Não Para
29674,3119,Guto Personal
29675,3120,Coac
29698,3121,Edp - Associação Desportiva O Mundo Da Corrida
29704,3122,Unidos À Frescas
29706,3123,Clube Pessoal Edp - Delegação Gaia
29719,3124,Argatintas
29723,3125,Kopus Academia Saude Estetica
29729,3126,4 Gatos
29732,3127,Clube De Pessoal Edp - Porto
29737,3128,Club Atletismo Ribadeo
29774,3129,Super Malapos E Fogaças
29775,3130,Edp - Correr Viseu
29803,3131,Ferreirolux
29805,3132,Joâo Oliveira
29838,3133,Jumbo Gondomar
29844,3134,Edp - Correrlisboa
29849,3135,S. C. Braga
29862,3136,Ltv Kiel-Ost
29873,3137,Navr
29910,3138,Sola Rota Madeira
29912,3139,Cf Jesuitas
29922,3140,Clube Pessoal Edp
29933,3141,Baidebagare
29944,3142,Maiarunners
29946,3143,Altis
29951,3144,Edp - Correr Lisboa
29959,3145,X-Bionic
29964,3146,Club Triatlon Arabi Yecla Catlike
29982,3147,Iacc 37
30000,3148,Bad Team Riders
30008,3149,Em´Força-Spem
30017,3150,Liberty Seguros Zenstress - Massagem Ao Domicílio
30021,3151,Los Calimeros
30026,3152,Passa À Frente
30028,3153,Ainda Falta Muito?
30030,3154,Mocidade S. Gemil Atlético Clube
30033,3155,Pessoal Da Maia
30047,3156,Comesaña Sporting Club
30052,3157,"Clube De Pessoal Da Edp, Porto"
30080,3158,Nucleo De Karate E Atletismo De Roriz
30087,3159,Clube Ana
30091,3160,Best People
30092,3161,Familia Couto
30099,3162,Cd Running Humanes De Madrid
30101,3163,Os Amigos De Grijó
30105,3164,The Aa Team
30108,3165,C.A. Running Castello
30122,3166,Perfect Runner Lublin Team
30128,3167,Runçaners
30137,3168,Amigos Do Atletismo Do Magna
30157,3169,Salsa_Chicos
30174,3170,Liberty Seguros Corrida De Pernas Pro Ar
30178,3171,Swat
30179,3172,Mota
30193,3173,Kamarros
30202,3174,Infos
30210,3175,Ada
30215,3176,M&M
30268,3177,Ac Artrose
30282,3178,Vamooooosss!
30302,3179,Scalabis Night Runners
30303,3180,Grupo Desportivo Banco De Portugal
30315,3181,Os Mais Iluminados
30340,3182,Powerade - Coca Cola
30343,3183,Tomatubikers
30357,3184,Lilito
30359,3185,Edp - Terrores Do Asfalto
30371,3186,Ccd Siemens
30389,3187,Gdct Repsol
30395,3188,La Balgentienne
30414,3189,Smc Runners
30429,3190,Noctiluzes
30471,3191,Runners Bergamo
30474,3192,Tartarugas Solidárias
30492,3193,Edp Estagiárias
30494,3194,Dragões
30515,3195,Power Snails
30521,3196,Intercaimabikepolisportloja Da Visão
30540,3197,A.P.P.C
30547,3198,Iberoftal
30567,3199,Lec2014
30591,3200,Gezond Hardlopen  (Correr Saudavel)
30592,3201,Aero Runner
30593,3202,Nós Corremos
30597,3203,Rasa Club
30610,3204,Edp - Mota Family
30627,3205,Royal School Of Languages
30665,3206,Sefossefácilandavamcáoutros
30672,3207,Grupotagar
30679,3208,Av 34
30686,3209,Mulhacen 3479
30691,3210,Vito
30693,3211,Ventura
30708,3212,Triatlon Pisuerga
30721,3213,Aa Allaudienne
30724,3214,Lubé
30739,3215,O Barriguitas
30749,3216,Jura
30761,3217,Pessoal
30772,3218,Pinarium
30779,3219,A.D. Porto Do Son
30783,3220,Peephole
30789,3221,Pernas Celtas
30791,3222,Asparathle Vitry Sur Seine
30805,3223,Ritual Dos Petiscos Btt Athletic Team
30807,3224,Free Runner
30825,3225,Histos
30826,3226,Castro Lobadiz6 Pes Pa Un Banco
30839,3227,Liberty Seguros Ds Arcozelo
30851,3228,Naninhas Running Clube
30853,3229,Liberty Seguros .
30861,3230,Los Mariachis
30865,3231,Cactus Team - Vila Real
30870,3232,"Lemos&Costa, Lda"
30879,3233,Equipe Guimarães
30891,3234,Treinasses
30907,3235,Atletas Douro - Clinica De Gondomar
30916,3236,Running Castellon Extra
30920,3237,Lauffeuer Chiemgau
30932,3238,Ligeiros
30951,3239,Pegachos
30965,3240,La Foulée Pont A Marcquoise
31013,3241,Faltamuito?
31036,3242,Zawaia Runners
31039,3243,Marco & Pedro
31041,3244,Belgio
31047,3245,Angels
31066,3246,Surfaventura
31073,3247,Flying Scotsmen
31080,3248,C.D.Running Humanes De Madrid
31081,3249,Altis-Nl
31089,3250,Waynext
31114,3251,Edp - Porto
31118,3252,Xpto Runners
31136,3253,Fit&Fun
31144,3254,Club Aventura Da Madeira
31146,3255,Us Marquette
31158,3256,Main
31184,3257,In Home Care
31201,3258,Mikochicoteam
31242,3259,A&P
31253,3260,Scalabis Nigth Runner
31255,3261,Falcões Selvagens
31257,3262,Amigos  Das Sapatilhas
31263,3263,Swat Runners
31280,3264,O Mundo Da Corrida
31285,3265,Correr Lisboa
31310,3266,Prtad Quinta
31326,3267,Panquecas
31332,3268,Liberty Seguros - Cães D´Avenida
31367,3269,Ursosrunners
31377,3270,Familia Alves
31392,3271,Palmeiras
31395,3272,R4tl
31398,3273,Ca Amigos Do Parque Da Paz
31400,3274,Cross Trainer
31405,3275,Edp - Pintarolas
31418,3276,Charlot  Team
31430,3277,Caes D´ Avenida
31469,3278,Koovee
31471,3279,C F Jesuitas
31492,3280,Barahona
31495,3281,Lycee Fançais International De Porto
31514,3282,Hand2hand Better Living
31566,3283,Edp - Benfica
31568,3284,Cal - Clube Atletiamo De Lamas
31579,3285,Coimbra
31583,3286,Running Para Todos
31606,3287,Feine Sahne Fischfilet
31638,3288,Body Tech Belem
31639,3289,Bicademia Ginásio
31648,3290,Edp - Slb
31649,3291,Edp - Fcp
31664,3292,Cpcl
31674,3293,Maia Ac Criobaby
31678,3294,Fisiorama - El Taller De Inglés
31682,3295,Sc Ostheim Rhon
31686,3296,C A Povoa
31693,3297,Passatempo Edp - Casa Do Povo De Mangualde
31694,3298,Clube Atletismo Amigos De Belém
31695,3299,Vitalis  Running Team
31699,3300,Jofipi
31701,3301,C A S
31702,3302,G.D.C Guilhovai
31705,3303,Passatempo Edp - Rb-Runing
31717,3304,Passatempo Edp - Casa Do Povo Mangualde
31731,3305,Ffdr
31733,3306,Clube Casaense
31734,3307,Jastrzebie Laskie
31739,3308,G D Castelo Paiva
31740,3309,Grupo Desportivo Castelo De Paiva
31742,3310,Ama-Associação Mondim Atletismo
31744,3311,Dinamo Clube Estação
31745,3312,Luis Martins
31746,3313,Passatempo Edp - Anti-Mutantes
31747,3314,Clube De Triatlo Perosinho
31748,3315,Clube Triatlo Perosinho
31759,3316,Generg
31762,3317,Dci Run Team-Mealhada
31763,3318,Grupo Desportivo E Cultural De Castelo De Paiva
31764,3319,Ach. Brito
31765,3320,Rio Largo Espinho
31766,3321,Oliveira Runners
31769,3322,Passatempo Edp - Clube Pessoal Edp Porto
31770,3323,Monte Córdova Fc
31773,3324,Run With Me Stockholm
31774,3325,Associação Académica De Coimbra
31780,3326,Grupo Desportivo Dos Ferroviários Campanhã
31785,3327,Oralklass -Aliança -Amigos Do Trail
31788,3328,Trailistas Eu É Que Sei
31795,3329,Pé De Chumbo Team
31797,3330,Amigos Run
31800,3331,G.D.S. Paio Oleiros
31801,3332,Jogging Lovers Coimbra
31807,3333,Passatempo Edp - Correr Lisboa
31808,3334,Passatempo Edp - Correr Viseu
31821,3335,Clube Atletismo Do Funchal
31828,3336,Nucleo De Atletismo Vila Real
31833,3337,Bsg Festo
31835,3338,Goldorak
31850,3339,Atenas Runing
31851,3340,Gonçalves
31866,3341,Ac Romorantin
31871,3342,Passatempo Edp - Viriathvs Runners Viseu
31876,3343,Passatempo Edp -Sabinos
31885,3344,Atletas Populares De Valladolid
31892,3345,Ad Amarante
31893,3346,Primavera Runners
31894,3347,Atletismo Porriño
31900,3348,Passatempo Montepio
31907,3349,Passatempo Edp
31910,3350,Biggie Smallz Party People
31915,3351,Passatempo Edp - Viriathus Runners
31916,3352,Viriathv Runners Viseu
31922,3353,Str
31923,3354,Restaurante Santos
31930,3355,Zangões
31933,3356,Atlhon Esportes
31934,3357,Grupo Alegre Unido Bajouca
31943,3358,Bodyrunner's
31954,3359,Passatempo Edp - Viriathvs Runners
31955,3360,Armada Española
31972,3361,Moinhos Run
31978,3362,Surfrunners
31981,3363,Varzim Sport Club Triatlo
31983,3364,Vamilhá
31987,3365,Werunbue
31992,3366,C. F. Oliveira  Do  Douro
31999,3367,Guimaraes
32001,3368,Kalav
32003,3369,Fitness Up
32004,3370,Sporting Segovia
32020,3371,Hoquei Clube De Viseu
32021,3372,Os Ribeirinhos
32046,3373,Moscow Runnig Club
32058,3374,Liberty Seguros - Gaia-Running
32060,3375,Ginasio Fit4fun
32068,3376,Núcleo De Atletismo De Cucucjães
32077,3377,Casquinhas
32082,3378,Nh Hotels
32093,3379,Medonhas
32096,3380,Corre Rápido
32119,3381,Olimpico Vianense
32146,3382,Powerade - Leião
32149,3383,Equipa Jumbo
32155,3384,Adccj Clarks
32168,3385,Os Metralhas
32176,3386,Polizei Koln
32189,3387,Passatempo Edp - Usf Lusitana
32201,3388,Borda Family
32205,3389,Tv Eppingen
32206,3390,Leon Corre
32207,3391,Dialog Semiconductor
32209,3392,Sonega
32215,3393,Brandão Pinho
32222,3394,Clube Corrida
32227,3395,Powerade -  Www.Lojadocafe.Com.Pt
32228,3396,Clube Pt Zona Norte
32234,3397,Los Tinocos - The Bigtesticles
32235,3398,Ptc Running Team
32236,3399,Runners Frente Ribeirinha Povoa Santa Iria
32241,3400,Aquivamos
32245,3401,Team Running Monumental Fitness Club
32257,3402,Desnível Positivo
32258,3403,Afdd- Run Crew Trail Montijo
32284,3404,Podomadrid
32303,3405,Passatempo Edp - Kemedo Team
32304,3406,"""Jogging Lovers Coimbra"""
32308,3407,Coelhos
32309,3408,Familia Pinto
32315,3409,Dentrata Run
32317,3410,Sampaícos
32323,3411,Javalis Portugal
32330,3412,Sri Chinmoy Marathon Team
32346,3413,Clube Naval Do Funchal/Optica Da Sé
32350,3414,Caf
32354,3415,Tuias
32367,3416,Aas
32368,3417,Cardoso Team
32380,3418,Villaverde Iruña
32392,3419,Korredores Maratonistas Amadores
32395,3420,Nh Runners
32401,3421,Bjecasrun
32402,3422,Rcl 98
32411,3423,Try@Least
32416,3424,Lap
32419,3425,Fonseca Porto Bicentenário
32424,3426,Grupo Carnaval Os Marroquinos
32426,3427,Arpo - Associação Recreativa Pousadense
32451,3428,Patos Reais
32456,3429,Rest. O Positivo
32460,3430,1970
32476,3431,Happyfamily
32508,3432,Mugarra Tt
32523,3433,Asics
32535,3434,Sarroeiras To The Power
32544,3435,Running Team
32551,3436,Orff
32557,3437,Passatempo Edp - Edp_Ceiia
32569,3438,Taboada_Asorey
32571,3439,Liberty Seguros Correr Viseu
32583,3440,Crazy Road Runner
32586,3441,Ataqueasexta.Come
32587,3442,Luanda Runners
32593,3443,Não Fazemos Nem Mais Um.. Km
32603,3444,2go2finish
32633,3445,Rc Team
32650,3446,Mario De Oliveira
32655,3447,Grupo Desportivo Dianas
32660,3448,Atlestismo Fontes Do Sar
32662,3449,Erba Sport
32678,3450,Lenitarunners+Sportbillys
32685,3451,On More Mile
32687,3452,Gandarela Run
32694,3453,3 Dedos 3
32707,3454,Slow Motion
32719,3455,Passatempo Edp - Cbrunning Team
32720,3456,Monsanto Running Team
32723,3457,Vila Cova
32728,3458,Ascice Running 4
32731,3459,Bragançateam
32765,3460,Viana Cycles
32770,3461,Ascice Running 2
32771,3462,Montepio Runners
32785,3463,Triação Assessoria Esportiva
32786,3464,Triação Assessoria Desportiva
32794,3465,Pace.Makers
32818,3466,Lifung
32836,3467,Programa.Pl
32849,3468,On2pedals - Run Team
32857,3469,Caixa Geral De Depósitos
32862,3470,Passatempo Edp -Clube Edp Lisboa
32870,3471,Aasm - Ass. Académica De São Mamede
32871,3472,Wasgaubiker Silz E.V.
32873,3473,Os Pitis
32911,3474,Amigos De Grijó
32925,3475,Pe De Chumbo Team
32938,3476,Xeque Mate
32948,3477,Vidaactivaruns
32949,3478,Ac Tassin
32964,3479,Vigoentrena
32966,3480,Nav Runners
33000,3481,Passatempo Edp - The Best
33009,3482,Os Amigo De Grijó
33023,3483,Passatempo Edp - Juventude Desportiva Das Neves
33034,3484,Tálento Pra Correr Team
33042,3485,Passatempo Edp - Terrores Do Asfalto
33047,3486,Sport Zone - Mês Do Running
33075,3487,Vilt Runners
33093,3488,Just Do It
33097,3489,Robbialac Nicerunners
33107,3490,Passatempo Running
33111,3491,Jogging Lovers
33113,3492,Club Fontes Do Sar
33118,3493,Mais Activo Runners
33120,3494,Rompeerasga
33123,3495,Varzim
